Graph,Count,Avg rb,Min rb,HitTime
vsp_sctap1-2b_and_seymourl.clq,10,7.00,7,10
vsp_vibrobox_scagr7-2c_rlfddd.clq,10,18.00,18,10
rgg_n_2_18_s0.clq,10,15.00,15,10
citationCiteseer.clq,10,13.00,13,10
delaunay_n17.clq,10,5.00,5,10
hep-th.clq,10,5.00,5,10
delaunay_n12.clq,10,4.00,4,10
astro-ph.clq,10,17.00,17,10
karate.clq,10,5.00,5,10
vsp_data_and_seymourl.clq,10,7.00,7,10
G_n_pin_pout.clq,10,8.00,8,10
preferentialAttachment.clq,10,6.00,6,10
rgg_n_2_15_s0.clq,10,12.00,12,10
email.clq,10,12.00,12,10
cond-mat-2003.clq,10,12.00,12,10
kron_g500-logn18.clq,10,38.00,38,10
PGPgiantcompo.clq,10,25.00,25,10
rgg_n_2_17_s0.clq,10,15.00,15,10
vsp_mod2_pgp2_slptsk.clq,10,12.00,12,10
vsp_befref_fxm_2_4_air02.clq,10,10.00,10,10
luxembourg.osm.clq,10,3.00,3,10
netscience.clq,10,5.00,5,10
vsp_bump2_e18_aa01_model1_crew1.clq,10,9.00,9,10
polbooks.clq,10,6.00,6,10
delaunay_n18.clq,10,5.00,5,10
vsp_barth5_1Ksep_50in_5Kout.clq,10,5.00,5,10
cnr-2000.clq,10,84.00,84,10
kron_g500-logn17.clq,10,37.00,37,10
delaunay_n14.clq,10,4.00,4,10
lesmis.clq,10,11.00,11,10
delaunay_n11.clq,10,4.00,4,10
power.clq,10,6.00,6,10
vsp_c-60_data_cti_cs4.clq,10,6.00,6,10
rgg_n_2_16_s0.clq,10,14.00,14,10
cond-mat-2005.clq,10,12.00,12,10
vsp_p0291_seymourl_iiasa.clq,10,6.00,6,10
kron_g500-logn16.clq,10,39.00,39,10
vsp_msc10848_300sep_100in_1Kout.clq,10,63.00,63,10
coAuthorsDBLP.clq,10,115.00,115,10
smallworld.clq,10,6.00,6,10
coAuthorsCiteseer.clq,10,87.00,87,10
vsp_south31_slptsk.clq,10,12.00,12,10
delaunay_n13.clq,10,4.00,4,10
chesapeake.clq,10,5.00,5,10
vsp_model1_crew1_cr42_south31.clq,10,8.00,8,10
football.clq,10,9.00,9,10
kron_g500-simple-logn16.clq,10,39.00,39,10
cond-mat.clq,10,6.00,6,10
celegans_metabolic.clq,10,9.00,9,10
kron_g500-simple-logn18.clq,10,38.00,38,10
kron_g500-simple-logn17.clq,10,39.00,39,10
delaunay_n10.clq,10,4.00,4,10
adjnoun.clq,10,5.00,5,10
dolphins.clq,10,5.00,5,10
celegansneural.clq,10,13.00,13,10
vsp_c-30_data_data.clq,10,6.00,6,10
delaunay_n16.clq,10,5.00,5,10
vsp_bcsstk30_500sep_10in_1Kout.clq,10,26.00,26,10
polblogs.clq,10,16.00,16,10
vsp_finan512_scagr7-2c_rlfddd.clq,10,6.00,6,10
jazz.clq,10,30.00,30,10
as-22july06.clq,10,17.00,17,10
caidaRouterLevel.clq,10,17.00,17,10
delaunay_n15.clq,10,4.00,4,10
