Graph,Count,Avg rb,Min rb,HitTime
socfb-UConn,10,50.00,50,10
scc_rt_gmanews,10,22.00,22,10
ca-netscience,10,9.00,9,10
socfb-Texas84,10,56.00,56,10
scc_rt_libya,10,3.00,3,10
scc_infect-dublin,10,84.00,84,10
ia-wiki-Talk,10,26.00,26,10
ia-infect-hyper,10,16.00,16,10
scc_rt_lolgop,10,42.00,42,10
web-arabic-2005,10,102.00,102,10
ca-CSphd,10,3.00,3,10
soc-gowalla,10,29.00,29,10
soc-epinions,10,18.00,18,10
socfb-UF,10,56.00,56,10
socfb-Penn94,10,44.00,44,10
web-edu,10,30.00,30,10
bio-dmela,10,7.00,7,10
scc_fb-forum,10,266.00,266,10
scc_rt_damascus,10,5.00,5,10
web-spam,10,20.00,20,10
scc_rt_bahrain,10,8.00,8,10
scc_rt_obama,10,2.00,2,10
scc_rt_lebanon,10,2.00,2,10
scc_rt_assad,10,8.00,8,10
tech-RL-caida,10,17.00,17,10
scc_rt_qatif,10,3.00,3,10
socfb-UCLA,10,51.00,51,10
ca-GrQc,10,44.00,44,10
socfb-CMU,10,45.00,45,10
scc_reality,10,1236.00,1236,10
ca-AstroPh,10,57.00,57,10
ca-dblp-2012,10,114.00,114,10
web-indochina-2004,10,50.00,50,10
sc-nasasrb,10,36.00,36,10
ca-MathSciNet,10,25.00,25,10
ca-Erdos992,10,8.00,8,10
socfb-OR,10,31.00,31,10
sc-pkustk11,10,36.00,36,10
rt-retweet,10,4.00,4,10
ca-dblp-2010,10,75.00,75,10
sc-shipsec1,10,24.00,24,10
tech-routers-rf,10,16.00,16,10
socfb-Indiana,10,49.00,49,10
inf-power,10,6.00,6,10
scc_retweet,10,166.00,166,10
scc_twitter-copen,10,581.00,581,10
soc-BlogCatalog,10,77.00,77,10
tech-as-caida2007,10,16.00,16,10
soc-LiveMocha,10,27.00,27,10
rec-amazon,10,5.00,5,10
ia-infect-dublin,10,16.00,16,10
ia-email-EU,10,14.00,14,10
scc_rt_ksa,10,6.00,6,10
scc_rt_voteonedirection,10,3.00,3,10
scc_rt_oman,10,3.00,3,10
bio-celegans,10,9.00,9,10
web-google,10,18.00,18,10
ca-citeseer,10,87.00,87,10
socfb-Wisconsin87,10,38.00,38,10
web-sk-2005,10,82.00,82,10
tech-p2p-gnutella,10,5.00,5,10
sc-pkustk13,10,38.00,38,10
ca-CondMat,10,26.00,26,10
sc-shipsec5,10,26.00,26,10
scc_rt_onedirection,10,27.00,27,10
soc-twitter-follows,10,8.00,8,10
socfb-UCSB37,10,54.00,54,10
socfb-UIllinois,10,58.00,58,10
ia-enron-only,10,8.00,8,10
soc-buzznet,10,50.00,50,10
scc_rt_http,10,3.00,3,10
soc-dolphins,10,5.00,5,10
ia-fb-messages,10,7.00,7,10
bio-diseasome,10,11.00,11,10
sc-msdoor,6,35.00,35,6
web-webbase-2001,10,33.00,33,10
soc-wiki-Vote,10,7.00,7,10
web-uk-2005,10,500.00,500,10
scc_rt_israel,10,2.00,2,10
scc_rt_tcot,10,3.00,3,10
ca-HepPh,10,239.00,239,10
socfb-Stanford3,10,51.00,51,10
scc_rt_p2,10,2.00,2,10
scc_rt_occupy,10,5.00,5,10
tech-WHOIS,10,58.20,58,8
soc-slashdot,10,30.00,30,10
ia-email-univ,10,12.00,12,10
sc-pwtk,10,32.50,29,5
scc_rt_gop,10,2.00,2,10
scc_rt_dash,10,6.00,6,10
soc-karate,10,5.00,5,10
scc_rt_barackobama,10,10.00,10,10
scc_rt_occupywallstnyc,10,18.00,18,10
scc_rt_uae,10,3.00,3,10
scc_rt_mittromney,10,5.00,5,10
scc_rt_tlot,10,2.00,2,10
scc_rt_alwefaq,10,16.00,16,10
ia-enron-large,10,25.00,25,10
scc_enron-only,10,120.00,120,10
socfb-Duke14,10,46.00,46,10
web-polblogs,10,10.00,10,10
socfb-MIT,10,39.00,39,10
scc_infect-hyper,10,106.00,106,10
web-BerkStan,10,29.00,29,10
scc_fb-messages,10,707.00,707,10
tech-internet-as,10,16.00,16,10
bio-yeast,10,6.00,6,10
rt-twitter-copen,10,4.00,4,10
soc-douban,10,11.00,11,10
soc-brightkite,10,37.00,37,10
scc_rt_saudi,10,8.00,8,10
socfb-Berkeley13,10,42.00,42,10
scc_rt_justinbieber,10,17.00,17,10
ia-reality,10,5.00,5,10
