Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
kron_g500-simple-logn16,10,46.80,45,1,32.358095,32.358095
germany.osm,7,5.00,5,7,116.592094,142.0125517142857
rgg_n_2_21_s0,10,18.00,18,10,21.106384,23.7423029
kron_g500-simple-logn18,10,55.40,54,3,58.856455,59.46783533333333
delaunay_n14,10,4.00,4,10,0.086302,10.6803203
333SP,10,7.00,7,10,55.66942,59.875492
hugetric-00000,8,4.00,4,8,158.728867,164.19781825
vsp_finan512_scagr7-2c_rlfddd,10,6.00,6,10,0.776924,1.0203023
coAuthorsDBLP,10,115.00,115,10,0.1639,0.1727667
NLR,10,8.00,8,10,60.631212,72.2401056
football,10,9.00,9,10,0.0,0.020006
vsp_msc10848_300sep_100in_1Kout,10,68.70,67,1,58.429437,58.429437
channel-500x100x100-b050,10,13.10,13,9,108.913729,122.34176033333334
vsp_model1_crew1_cr42_south31,10,7.30,7,7,0.335707,1.1264165714285714
hep-th,10,5.20,5,8,0.154556,6.350573875
kron_g500-logn17,10,48.30,47,1,49.861799,49.861799
vsp_vibrobox_scagr7-2c_rlfddd,10,19.30,19,7,3.614671,3.9089945714285714
kron_g500-simple-logn17,10,48.20,47,3,54.239116,56.846285333333334
rgg_n_2_18_s0,10,15.00,15,10,0.812376,1.1970519
delaunay_n11,10,4.00,4,10,0.011263,0.308563
vsp_data_and_seymourl,10,6.00,6,10,0.108487,2.2841621
kron_g500-logn16,10,47.10,45,1,37.589609,37.589609
rgg_n_2_15_s0,10,12.00,12,10,0.051844,0.059159500000000004
thermal2,10,6.00,6,10,26.950228,29.5068448
delaunay_n17,10,4.10,4,9,2.740458,26.530266
dolphins,10,5.00,5,10,0.0,0.0006168
kkt_power,10,11.00,11,10,17.883694,21.650325199999997
vsp_mod2_pgp2_slptsk,10,12.80,12,2,6.56277,28.758611000000002
netherlands.osm,10,4.00,4,10,6.57771,6.8207793
adjnoun,10,5.90,5,1,0.0,0.0
celegansneural,10,15.50,15,5,0.009837,0.43875780000000003
rgg_n_2_16_s0,10,14.00,14,10,0.105243,0.1151218
delaunay_n20,10,5.00,5,10,8.399341,10.0872677
italy.osm,10,4.00,3,2,56.587269,57.963878
venturiLevel3,10,4.00,4,10,22.919617,25.6767506
kron_g500-logn19,10,65.30,65,7,59.222046,64.436749
in-2004,10,489.00,489,10,6.447859,7.0737852
coAuthorsCiteseer,10,87.00,87,10,0.133999,0.1462889
G3_circuit,10,3.60,3,4,20.497224,46.957799
coPapersDBLP,10,337.00,337,10,1.379769,1.5786595
eu-2005,10,387.00,387,10,4.939157,5.2501808
