Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
soc-FourSquare,10,36.60,35,1,42.979892,42.979892
socfb-UConn,10,50.00,50,10,1.151568,8.8993564
scc_rt_gmanews,10,22.00,22,10,0.000263,0.0034374
sc-msdoor,10,40.20,38,1,50.755436,50.755436
soc-pokec,10,30.50,29,2,57.137081,57.2405465
ca-netscience,10,9.00,9,10,0.0,0.0004351
socfb-Texas84,10,56.70,56,3,39.727023,46.097599333333335
scc_rt_libya,10,3.00,3,10,0.0,0.0008829
scc_infect-dublin,10,84.00,84,10,0.015905,0.0175053
ia-wiki-Talk,10,30.40,29,2,44.338192,44.726412499999995
ia-infect-hyper,10,19.50,19,5,0.000652,0.0142682
soc-digg,10,62.10,60,1,56.839173,56.839173
scc_rt_lolgop,10,42.70,42,3,0.036205,0.04915666666666667
web-arabic-2005,10,102.00,102,10,0.095926,0.102489
ca-CSphd,10,3.00,3,10,0.0,0.0013827
soc-gowalla,10,29.40,29,7,4.208412,10.803429714285715
soc-delicious,10,21.00,21,10,0.803502,1.6373444
soc-epinions,10,20.30,19,1,7.523468,7.523468
socfb-UF,10,58.10,57,2,32.579884,39.178325
socfb-Penn94,10,45.60,45,4,5.008253,18.50766675
web-edu,10,30.00,30,10,0.000133,0.0013406
bio-dmela,10,7.20,7,8,0.083599,8.83782575
soc-lastfm,10,22.10,22,9,27.712329,42.384541999999996
scc_fb-forum,10,266.00,266,10,26.817054,37.9313316
inf-roadNet-PA,10,4.00,4,10,2.610738,2.8042946
scc_rt_damascus,10,5.00,5,10,0.0,0.0006364
sc-ldoor,10,40.70,40,5,31.261387,45.3092202
web-spam,10,21.80,20,1,0.792203,0.792203
scc_rt_bahrain,10,8.20,8,8,0.000212,0.00104325
scc_rt_obama,10,2.00,2,10,0.0,0.0006074
scc_rt_lebanon,10,2.00,2,10,0.0,0.0003846
soc-flickr,10,113.90,111,1,56.78806,56.78806
scc_rt_assad,10,8.00,8,10,0.0,0.0003571
tech-RL-caida,10,17.20,17,8,0.727117,1.323742625
scc_rt_qatif,10,3.00,3,10,0.0,0.001089
soc-youtube,10,26.40,26,6,16.655717,29.990959166666666
socfb-UCLA,10,51.50,51,8,1.277442,5.519357374999999
ca-GrQc,10,44.00,44,10,0.000552,0.0020969
socfb-CMU,10,45.90,45,2,47.284831,48.0812715
scc_reality,10,1242.20,1240,1,0.812597,0.812597
tech-as-skitter,10,68.70,67,1,59.586968,59.586968
ca-AstroPh,10,57.00,57,10,0.018925,0.0215446
ca-dblp-2012,10,114.00,114,10,0.156695,0.1646843
web-indochina-2004,10,50.00,50,10,0.001941,0.0029333
sc-nasasrb,10,33.10,28,2,38.94716,41.8410595
ca-MathSciNet,10,25.00,25,10,0.17247,0.1949815
ca-Erdos992,10,8.00,8,10,0.001753,0.0033211
socfb-OR,10,32.60,32,4,14.095534,23.38408725
sc-pkustk11,10,42.50,40,3,18.683754,28.680025333333333
soc-livejournal,10,214.00,214,10,22.091901,23.1596091
rt-retweet,10,4.00,4,10,0.0,0.0001046
ca-dblp-2010,10,75.00,75,10,0.083321,0.0901721
sc-shipsec1,10,25.50,25,6,1.424175,3.681394666666667
tech-routers-rf,10,16.00,16,10,0.001198,0.0022476
socfb-Indiana,10,49.00,48,6,37.477587,48.0223845
inf-power,10,6.00,6,10,0.000808,0.0026412999999999996
scc_retweet,10,166.00,166,10,1.151959,7.3379057
scc_twitter-copen,10,584.90,583,5,1.057435,1.0800716000000001
soc-BlogCatalog,10,98.10,97,2,34.790313,44.8226035
tech-as-caida2007,10,17.00,16,1,0.1777,0.1777
soc-LiveMocha,10,32.00,31,3,24.637014,25.745847333333334
rec-amazon,10,5.00,5,10,0.037872,0.0418128
soc-youtube-snap,10,28.20,28,8,23.231662,34.388811625
scc_retweet-crawl,10,20.00,20,10,0.220114,0.2461514
ia-infect-dublin,10,16.00,16,10,0.001147,0.002652
ia-email-EU,10,15.60,15,4,0.126358,17.066114
scc_rt_ksa,10,6.00,6,10,0.0,0.0009307
scc_rt_voteonedirection,10,3.00,3,10,0.0,0.0002535
scc_rt_oman,10,3.00,3,10,0.0,0.0008527000000000001
bio-celegans,10,10.00,10,10,0.000239,0.13225679999999998
ca-hollywood-2009,10,2209.00,2209,10,14.189451,14.9715495
web-google,10,18.00,18,10,2.2e-05,0.0011417
ca-citeseer,10,87.00,87,10,0.090786,0.0968383
ca-coauthors-dblp,10,337.00,337,10,1.075107,1.1261869
soc-flixster,10,36.70,36,5,43.691871,48.669290000000004
socfb-Wisconsin87,10,39.60,39,5,15.787506,30.3833746
web-sk-2005,10,82.00,82,10,0.035239,0.0379236
tech-p2p-gnutella,10,5.00,5,10,0.240799,0.3294429
sc-pkustk13,10,45.70,37,1,57.231885,57.231885
ca-CondMat,10,26.00,26,10,0.007849,0.009544
sc-shipsec5,10,24.60,24,6,6.567754,7.964951
scc_rt_onedirection,10,27.00,27,10,0.0,0.0011418
soc-twitter-follows,10,6.30,6,7,1.763599,7.707613285714285
socfb-UCSB37,10,54.40,54,6,1.728892,4.352326166666667
socfb-UIllinois,10,58.80,58,5,21.297757,40.288632
ia-enron-only,10,8.40,8,6,0.0,0.0011156666666666667
soc-buzznet,10,64.30,62,1,58.360522,58.360522
scc_rt_http,10,3.00,3,10,0.000194,0.0008363
soc-dolphins,10,5.00,5,10,0.0,0.0003419
ia-fb-messages,10,7.70,7,3,0.386506,1.0094969999999999
socfb-A-anon,10,43.90,43,3,53.81006,55.63882233333334
bio-diseasome,10,11.00,11,10,0.0,0.00036009999999999997
socfb-B-anon,10,38.90,36,1,58.0574,58.0574
web-webbase-2001,10,33.00,33,10,0.001241,0.0027333
soc-wiki-Vote,10,8.00,8,10,0.000298,0.0835423
web-uk-2005,10,500.00,500,10,0.419839,0.45310700000000004
scc_rt_israel,10,2.00,2,10,0.0,0.0007102
scc_rt_tcot,10,3.00,3,10,0.0,0.00035830000000000004
ca-HepPh,10,239.00,239,10,0.00766,0.0090011
socfb-Stanford3,10,52.70,52,6,10.855688,18.922155166666666
scc_rt_p2,10,2.00,2,10,0.0,0.0008543
scc_rt_occupy,10,5.00,5,10,0.0,0.0007276
tech-WHOIS,10,61.20,61,8,0.735078,7.083132624999999
soc-slashdot,10,32.80,32,3,0.804452,0.8745866666666666
ia-email-univ,10,12.00,12,10,0.002016,0.0052271
sc-pwtk,10,42.50,39,1,57.75793,57.75793
scc_rt_gop,10,2.00,2,10,0.0,0.0005805
scc_rt_dash,10,6.00,6,10,0.0,0.0009148
web-it-2004,10,432.00,432,10,0.497896,0.5531423
soc-karate,10,5.00,5,10,0.0,0.0020151
scc_rt_barackobama,10,10.50,10,5,0.000749,0.001683
scc_rt_occupywallstnyc,10,18.00,18,10,0.001562,0.004376
scc_rt_uae,10,3.00,3,10,0.0,0.000648
scc_rt_mittromney,10,5.00,5,10,0.000197,0.0011646
scc_rt_tlot,10,2.00,2,10,0.0,0.0007766
scc_rt_alwefaq,10,16.00,16,10,0.0,0.0008945
ia-enron-large,10,27.70,26,1,6.495518,6.495518
rt-retweet-crawl,10,13.00,13,10,1.849487,2.8305722
scc_enron-only,10,120.00,120,10,0.191976,0.8031136
socfb-Duke14,10,50.20,49,2,21.500742,31.0591195
web-polblogs,10,10.10,10,9,0.00403,0.012067888888888888
socfb-MIT,10,44.80,44,3,20.116139,26.790325
scc_infect-hyper,10,106.00,106,10,0.0,0.0013046
web-BerkStan,10,29.00,29,10,0.001634,0.0026819
scc_fb-messages,10,709.60,709,4,0.265602,0.2670095
inf-roadNet-CA,10,4.10,4,9,13.442494,17.739103333333333
tech-internet-as,10,16.40,16,6,0.134399,0.43328216666666663
web-wikipedia2009,10,31.00,31,10,4.077631,4.3349956
bio-yeast,10,6.00,6,10,7e-05,0.0011723
rt-twitter-copen,10,4.00,4,10,0.0,0.0064357
soc-douban,10,11.00,11,10,0.308682,2.0752674
soc-brightkite,10,40.70,40,3,0.215374,0.22587733333333335
scc_rt_saudi,10,8.00,8,10,0.000839,0.0012219
socfb-Berkeley13,10,43.40,43,6,19.883834,29.3151645
soc-orkut,10,101.40,101,6,82.724623,93.040223
scc_rt_justinbieber,10,17.00,17,10,0.0,0.0015635
ia-reality,10,5.00,5,10,0.001741,0.0063566000000000004
