Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
athletes_edges,10,29.30,29,7,0.0317,0.05950785714285714
web-Stanford,10,61.00,61,10,2.696031,4.4409598
Amazon0505,10,11.40,11,6,2.703029,4.461112833333333
soc-Epinions1,10,36.30,36,7,3.146803,8.926045857142856
musae_PTBR_edges,10,23.00,22,1,55.76271,55.76271
soc-Slashdot0811,10,32.60,32,4,0.954413,4.944529
deezer_europe_edges,10,11.00,11,10,0.018522,0.0276004
p2p-Gnutella31,10,5.00,5,10,0.17603,0.22872099999999998
soc-pokec-relationships,10,29.70,29,4,52.064224,56.7539485
Email-EuAll,10,23.20,23,8,0.4371,3.746722625
musae_ES_edges,10,21.20,21,8,0.836369,9.260828125
new_sites_edges,10,31.00,31,10,0.023526,1.4305955000000001
Amazon0601,10,11.10,11,9,1.59253,2.3121432222222222
HU_edges,10,12.00,12,10,0.035268,0.0596675
musae_git_edges,10,24.00,24,10,0.058383,0.0768264
politician_edges,10,22.00,22,10,0.093845,1.3271585
web-Google,10,44.00,44,10,1.639573,1.8867742
musae_DE_edges,10,28.00,27,2,22.016494,26.0458315
musae_FR_edges,10,22.20,22,8,0.988432,1.59641575
musae_RU_edges,10,16.60,16,4,0.198178,3.90272325
government_edges,10,28.90,28,1,0.063171,0.063171
p2p-Gnutella25,10,5.00,5,10,0.036429,1.4919963
Amazon0312,10,11.10,11,9,1.295869,3.2868303333333335
cit-Patents,10,17.50,16,2,57.625052,58.209691
Cit-HepTh,10,24.60,24,4,9.276418,17.357823
musae_facebook_edges,10,55.00,55,10,0.017271,0.0204579
large_twitch_edges,10,109.00,109,10,13.563201,15.6340048
company_edges,10,21.00,21,10,0.004965,0.0103043
Amazon0302,10,7.00,7,10,0.372126,0.4747057
Slashdot0902,10,34.30,33,1,1.481562,1.481562
musae_ENGB_edges,10,11.30,11,7,0.241532,3.1357947142857143
lastfm_asia_edges,10,16.00,16,10,0.007382,0.0240805
p2p-Gnutella04,10,6.00,6,10,0.01743,0.2017483
soc-LiveJournal1,10,334.00,334,10,33.926029,39.0555577
p2p-Gnutella05,10,5.70,5,3,13.485194,37.71178666666667
Email-Enron,10,28.00,27,2,12.493553,27.7504775
p2p-Gnutella06,10,5.50,5,5,0.133119,8.4221668
web-NotreDame,10,155.00,155,10,0.184394,0.1931631
HR_edges,10,13.70,13,4,4.294881,22.66832675
p2p-Gnutella08,10,6.20,6,8,0.022117,4.884526375
artist_edges,10,23.20,22,1,3.641219,3.641219
p2p-Gnutella30,10,5.00,5,10,0.099004,0.18764419999999998
wiki-Vote,10,26.70,26,3,17.396268,28.752842
WikiTalk,10,63.50,62,2,53.203368,53.752071
tvshow_edges,10,57.00,57,10,0.000958,0.0026561
public_figure_edges,10,22.00,21,2,0.067814,0.069594
web-BerkStan,10,201.00,201,10,5.977443,6.517423
Cit-HepPh,10,22.10,20,1,15.022971,15.022971
p2p-Gnutella09,10,6.00,6,10,0.016229,0.2395053
RO_edges,10,7.00,7,10,0.095301,5.2628694
p2p-Gnutella24,10,5.00,5,10,0.107978,0.1556088
