Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
p_hat700-1,10,39.00,39,10,1.07836,6.684109
gen200_p0.9_55,10,61.00,61,10,2.61983,13.335028
keller4,10,15.00,15,10,0.006746,0.0224942
C500.9,10,151.40,151,6,12.3919,17.912283333333335
brock200_2,10,27.60,27,4,1.7911,20.9220025
brock800_4,10,124.80,124,2,4.78522,15.12956
p_hat1500-1,10,73.10,73,9,0.262018,16.80730311111111
p_hat300-2,10,39.00,39,10,0.379215,7.9970855
brock800_2,10,124.90,124,1,30.5046,30.5046
C2000.5,10,198.40,198,6,4.34687,18.470528333333334
hamming10-4,10,78.80,77,1,19.8759,19.8759
p_hat700-3,10,135.40,135,6,0.231049,10.418994666666666
DSJC1000.5,10,109.20,109,8,0.50359,13.178829250000001
p_hat700-2,10,81.80,81,2,16.2493,18.3488
MANN_a45,10,362.00,362,10,0.143386,0.1589189
p_hat1500-2,10,156.40,156,6,2.19621,16.364736666666666
p_hat1500-3,10,264.00,263,2,7.94237,19.830635
gen400_p0.9_65,10,79.80,75,1,21.9656,21.9656
brock400_2,10,84.20,84,8,6.98409,15.81334
p_hat300-1,10,20.00,20,10,0.005966,0.0407365
C4000.5,10,362.90,362,2,10.0321,11.391300000000001
MANN_a27,10,135.00,135,10,0.013788,5.5741488
MANN_a81,10,1140.00,1140,10,3.20382,3.568374
gen400_p0.9_55,10,58.80,58,3,14.2836,28.927766666666667
keller5,10,31.00,31,10,1.24832,7.720248
hamming8-4,10,16.00,16,10,0.006571,0.0186574
C2000.9,10,513.80,512,1,12.0526,12.0526
p_hat300-3,10,64.70,64,3,1.77369,8.009763333333334
gen200_p0.9_44,10,46.00,45,3,5.57249,17.509296666666668
C125.9,10,46.00,46,10,0.154492,2.3400249
C250.9,10,81.50,81,5,4.42575,21.08869
brock400_4,10,84.20,84,8,0.981488,11.084836
gen400_p0.9_75,10,95.40,92,1,37.8699,37.8699
DSJC500.5,10,61.00,61,10,0.680561,1.9754293
C1000.9,10,278.80,278,3,2.12738,15.748526666666667
brock200_4,10,38.60,38,4,0.291349,8.36940975
