Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
soc-FourSquare,10,31.00,31,10,1.60745,1.765963
socfb-UConn,10,50.00,50,10,0.155634,0.2043932
scc_rt_gmanews,10,22.00,22,10,0.000119,0.000374
sc-msdoor,10,31.00,31,10,1.67253,3.383108
soc-pokec,10,29.00,29,10,8.14365,10.250664
ca-netscience,10,9.00,9,10,3.9e-05,0.000103
socfb-Texas84,10,52.30,52,7,3.10854,15.754184285714286
scc_rt_libya,10,3.00,3,10,4.9e-05,0.0001508
scc_infect-dublin,10,84.00,84,10,0.001667,0.0018671
ia-wiki-Talk,10,25.00,25,10,0.225707,1.4484729
ia-infect-hyper,10,16.00,16,10,0.00415,0.0171035
soc-digg,10,54.90,54,1,10.7897,10.7897
scc_rt_lolgop,10,42.00,42,10,0.00017,0.00027780000000000003
web-arabic-2005,10,102.00,102,10,0.007888,0.0085851
ca-CSphd,10,3.00,3,10,7.6e-05,0.0002583
soc-gowalla,10,29.00,29,10,0.080352,0.1113487
soc-delicious,10,21.00,21,10,0.117569,0.1339134
soc-epinions,10,16.80,16,2,16.2614,20.0854
socfb-UF,10,56.70,56,3,15.1312,26.2916
socfb-Penn94,10,44.00,44,10,0.458976,0.619617
web-edu,10,30.00,30,10,6.7e-05,0.0001009
bio-dmela,10,7.00,7,10,0.004522,0.0072616
soc-lastfm,10,19.60,19,4,1.56729,9.8822525
scc_fb-forum,10,266.00,266,10,0.004146,0.007266
inf-roadNet-PA,10,4.00,4,10,0.076406,0.0798542
scc_rt_damascus,10,5.00,5,10,3.1e-05,9.92e-05
sc-ldoor,10,31.00,31,10,3.45975,4.651743
web-spam,10,20.00,20,10,0.004959,0.0080598
scc_rt_bahrain,10,8.00,8,10,4.7e-05,0.0001391
scc_rt_obama,10,2.00,2,10,3.1e-05,9.08e-05
scc_rt_lebanon,10,2.00,2,10,3.4e-05,0.0001079
soc-flickr,10,93.70,93,3,16.4886,24.5807
scc_rt_assad,10,8.00,8,10,9.5e-05,0.0001014
tech-RL-caida,10,17.00,17,10,0.061347,0.0945869
scc_rt_qatif,10,3.00,3,10,8.4e-05,0.000237
soc-youtube,10,22.80,22,2,2.138,14.305599999999998
