Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
athletes_edges,10,29.00,29,10,0.003003,0.0035008
web-Stanford,10,61.00,61,10,0.098353,0.1099178
Amazon0505,10,11.00,11,10,0.10015,0.1086996
soc-Epinions1,10,28.30,28,7,1.18053,9.641644285714285
musae_PTBR_edges,10,19.00,19,10,0.009142,0.0352098
soc-Slashdot0811,10,29.00,29,10,0.092596,0.6369935
deezer_europe_edges,10,11.00,11,10,0.005222,0.0081518
p2p-Gnutella31,10,5.00,5,10,0.047451,0.0543398
soc-pokec-relationships,10,29.00,29,10,8.5701,11.929244
Email-EuAll,10,18.10,18,9,0.040573,18.852519222222224
musae_ES_edges,10,18.00,18,10,0.017255,0.1178677
new_sites_edges,10,31.00,31,10,0.007393,0.0083503
Amazon0601,10,11.00,11,10,0.097686,0.10652439999999999
HU_edges,10,12.00,12,10,0.006149,0.0066895
musae_git_edges,10,24.00,24,10,0.035668,0.0786611
politician_edges,10,21.00,21,10,0.004676,0.0090629
web-Google,10,44.00,44,10,0.347464,0.38851009999999997
musae_DE_edges,10,22.00,22,10,0.078855,1.1285226
musae_FR_edges,10,18.00,18,10,0.52281,3.1843732
musae_RU_edges,10,15.00,15,10,0.008191,0.0124688
government_edges,10,28.00,28,10,0.010343,0.016328
p2p-Gnutella25,10,5.00,5,10,0.015693,0.0184326
Amazon0312,10,11.00,11,10,0.093073,0.1186514
cit-Patents,10,11.00,11,10,4.47261,7.047098
Cit-HepTh,10,24.00,24,10,0.322367,0.7840712
musae_facebook_edges,10,55.00,55,10,0.005205,0.0094577
large_twitch_edges,10,109.00,109,10,1.24582,2.508482
company_edges,10,21.00,21,10,0.001187,0.0022
Amazon0302,10,7.00,7,10,0.037469,0.0403123
Slashdot0902,10,30.00,30,10,0.140146,0.2715924
musae_ENGB_edges,10,11.00,11,10,0.005925,0.008436
lastfm_asia_edges,10,15.00,15,10,0.001707,0.002156
p2p-Gnutella04,10,5.00,5,10,0.014765,0.0148786
soc-LiveJournal1,10,321.00,321,10,3.34868,3.557902
p2p-Gnutella05,10,5.00,5,10,0.010749,0.0189321
Email-Enron,10,23.90,23,1,20.6551,20.6551
p2p-Gnutella06,10,5.00,5,10,0.012262,0.0163765
web-NotreDame,10,155.00,155,10,0.040973,0.0428578
HR_edges,10,13.00,13,10,0.397208,5.8469014
p2p-Gnutella08,10,6.00,6,10,0.007064,0.0096107
artist_edges,10,20.00,20,10,0.434055,2.5356156
p2p-Gnutella30,10,5.00,5,10,0.026583,0.031044099999999998
wiki-Vote,10,22.00,22,10,0.120135,1.4548626
WikiTalk,10,48.80,48,2,7.71255,13.999675
tvshow_edges,10,57.00,57,10,0.000229,0.0002649
public_figure_edges,10,21.00,21,10,0.007047,0.0078347
web-BerkStan,10,201.00,201,10,0.347224,0.3644935
Cit-HepPh,10,19.00,19,10,0.707369,2.8920152999999997
p2p-Gnutella09,10,6.00,6,10,0.006928,0.0087175
RO_edges,10,7.00,7,10,0.008078,0.0120554
p2p-Gnutella24,10,5.00,5,10,0.019453,0.0227603
