Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
kron_g500-simple-logn16,10,37.00,37,10,4.0300,15.5460
germany.osm,10,4.00,4,10,1.7400,1.8190
rgg_n_2_21_s0,10,18.00,18,10,6.1400,9.8520
kron_g500-simple-logn18,10,37.30,37,7,27.8800,42.9857
delaunay_n14,10,5.00,5,10,0.0000,0.0050
333SP,10,5.00,5,10,2.5200,2.6590
hugetric-00000,10,3.00,3,10,1.8500,2.0030
vsp_finan512_scagr7-2c_rlfddd,10,6.00,6,10,0.1500,0.2000
coAuthorsDBLP,10,115.00,115,10,0.1500,0.2040
NLR,10,5.00,5,10,4.1200,4.3710
football,10,9.00,9,10,0.0000,0.0000
vsp_msc10848_300sep_100in_1Kout,10,63.00,63,10,3.8500,4.9880
channel-500x100x100-b050,10,4.00,4,10,5.6200,6.2020
vsp_model1_crew1_cr42_south31,10,7.00,7,10,0.3200,1.3490
hep-th,10,5.00,5,10,0.0100,0.0130
kron_g500-logn17,10,36.50,36,5,9.7100,28.9980
vsp_vibrobox_scagr7-2c_rlfddd,10,18.00,18,10,0.0900,0.1130
kron_g500-simple-logn17,10,36.40,36,6,10.5400,27.5433
rgg_n_2_18_s0,10,15.00,15,10,0.2300,2.4370
delaunay_n11,10,5.00,5,10,0.0000,0.0000
delaunay_n24,10,5.00,5,10,9.6300,10.1150
vsp_data_and_seymourl,10,7.00,7,10,0.0000,0.0070
kron_g500-logn16,10,36.50,36,5,10.1800,25.3740
rgg_n_2_15_s0,10,12.00,12,10,0.0100,0.0970
er-fact1.5-scale23,10,11.00,11,10,32.4600,36.5900
kron_g500-simple-logn20,10,46.00,46,10,39.4700,41.3660
thermal2,10,5.00,5,10,0.6300,0.7370
delaunay_n17,10,5.00,5,10,0.0300,0.0440
dolphins,10,5.00,5,10,0.0000,0.0000
kkt_power,10,11.00,11,10,0.7700,0.8090
vsp_mod2_pgp2_slptsk,10,11.80,11,2,16.6200,23.2500
netherlands.osm,10,4.00,4,10,0.2800,0.3030
adjnoun,10,5.00,5,10,0.0000,0.0000
europe.osm,10,4.00,4,10,7.0200,10.5930
celegansneural,10,13.00,13,10,0.0000,0.0010
rgg_n_2_16_s0,10,14.00,14,10,0.1600,0.5250
delaunay_n20,10,5.00,5,10,0.5700,0.6210
italy.osm,10,3.00,3,10,0.7800,0.8170
venturiLevel3,10,4.00,4,10,1.1800,1.2260
kron_g500-logn19,10,40.80,38,1,86.4400,86.4400
in-2004,10,489.00,489,10,4.4000,4.6240
adaptive,10,2.00,2,10,4.5100,4.8150
coAuthorsCiteseer,10,87.00,87,10,0.0600,0.0940
G3_circuit,10,3.00,3,10,0.3800,0.4150
coPapersDBLP,10,337.00,337,10,0.8900,1.0160
eu-2005,10,387.00,387,10,10.8300,11.8660
nlpkkt120,10,2.00,2,10,5.3000,5.8630
luxembourg.osm,10,3.00,3,10,0.0000,0.0120
coPapersCiteseer,10,845.00,845,10,1.3600,1.3790
vsp_befref_fxm_2_4_air02,10,8.00,8,10,0.1100,0.5490
nlpkkt160,10,2.00,2,10,17.1100,18.3040
jazz,10,30.00,30,10,0.0000,0.0010
nlpkkt200,10,2.00,2,10,31.8900,33.4480
belgium.osm,10,3.00,3,10,0.1700,0.1810
hugebubbles-00010,10,3.00,3,10,11.6900,12.3270
af_shell10,10,15.00,15,10,0.6700,0.7040
er-fact1.5-scale20,10,8.00,8,10,8.5900,13.7180
polblogs,10,15.30,15,7,0.5800,20.5229
smallworld,10,7.50,7,5,6.2300,25.9620
hugebubbles-00020,10,3.00,3,10,11.8500,13.0150
er-fact1.5-scale22,10,9.00,9,10,47.3000,49.5280
road_central,10,4.00,4,10,3.2300,3.6290
delaunay_n16,10,5.00,5,10,0.0100,0.0180
rgg_n_2_23_s0,10,19.00,19,10,10.8300,35.3630
polbooks,10,6.00,6,10,0.0000,0.0000
email,10,12.00,12,10,0.0000,0.0010
nlpkkt240,10,2.00,2,10,56.6300,60.2860
lesmis,10,11.00,11,10,0.0000,0.0000
vsp_barth5_1Ksep_50in_5Kout,10,5.00,5,10,0.0000,0.0080
cond-mat-2003,10,12.00,12,10,0.0800,0.1420
rgg_n_2_19_s0,10,8.00,8,10,1.0000,1.5110
great-britain.osm,10,3.00,3,10,1.7700,1.8920
vsp_c-30_data_data,10,6.60,6,4,12.6600,29.3950
rgg_n_2_24_s0,10,21.00,21,10,27.5300,35.3630
kron_g500-logn18,10,37.10,37,9,34.1500,58.5978
preferentialAttachment,10,6.00,6,10,0.0800,0.2280
vsp_bump2_e18_aa01_model1_crew1,10,8.60,8,4,8.0700,31.3225
er-fact1.5-scale21,10,9.00,9,10,18.6000,19.4300
delaunay_n23,10,5.00,5,10,4.7600,4.9950
vsp_c-60_data_cti_cs4,10,6.00,6,10,0.1100,0.3030
chesapeake,10,5.00,5,10,0.0000,0.0000
PGPgiantcompo,10,25.00,25,10,0.0000,0.0050
cage15,10,12.70,12,3,44.5100,53.4800
delaunay_n18,10,5.00,5,10,0.0800,0.1050
road_usa,10,4.00,4,10,4.2800,4.4540
hugetric-00020,10,3.00,3,10,3.4700,3.6210
delaunay_n19,10,5.00,5,10,0.2800,0.2960
AS365,10,5.00,5,10,3.6000,3.8890
netscience,10,5.00,5,10,0.0000,0.0000
vsp_sctap1-2b_and_seymourl,10,6.00,6,10,0.0600,0.2940
delaunay_n15,10,5.00,5,10,0.0000,0.0080
citationCiteseer,10,13.00,13,10,0.4500,1.0350
packing-500x100x100-b050,10,11.00,11,10,6.4300,23.7270
power,10,6.00,6,10,0.0000,0.0000
hugetrace-00000,10,3.00,3,10,1.9800,2.1060
hugetric-00010,10,3.00,3,10,2.9700,3.0960
hugetrace-00020,10,3.00,3,10,8.0300,8.6260
karate,10,5.00,5,10,0.0000,0.0000
delaunay_n10,10,4.80,4,2,23.5200,24.7950
hugetrace-00010,10,3.00,3,10,5.7400,5.9310
vsp_south31_slptsk,10,11.50,11,5,22.2800,28.2140
asia.osm,10,4.00,4,10,1.3000,2.4810
M6,10,5.00,5,10,3.1000,3.4580
NACA0015,10,5.00,5,10,0.7000,0.7730
af_shell9,10,20.00,20,10,1.2600,5.9630
rgg_n_2_17_s0,10,15.00,15,10,0.1900,0.4330
celegans_metabolic,10,9.00,9,10,0.0000,0.0000
G_n_pin_pout,10,8.00,8,10,1.3900,6.5740
cond-mat,10,6.00,6,10,0.0200,0.0690
ecology1,10,2.00,2,10,0.2800,0.2990
delaunay_n22,10,5.00,5,10,2.5000,2.6450
hugebubbles-00000,10,3.00,3,10,10.1700,10.5480
vsp_bcsstk30_500sep_10in_1Kout,10,31.00,31,10,5.1900,29.5000
cond-mat-2005,10,12.00,12,10,0.0400,0.1830
vsp_p0291_seymourl_iiasa,10,6.00,6,10,0.0900,0.6850
caidaRouterLevel,10,17.00,17,10,0.1900,0.2870
uk-2002,10,944.00,944,10,61.0900,62.3600
delaunay_n21,10,5.00,5,10,1.1600,1.2340
as-22july06,10,17.00,17,10,0.0100,0.0120
cnr-2000,10,84.00,84,10,2.5800,2.6850
delaunay_n12,10,5.00,5,10,0.0000,0.0000
astro-ph,10,17.00,17,10,0.2100,1.3160
ecology2,10,2.00,2,10,0.2500,0.2670
ldoor,10,33.00,33,10,2.2900,3.8680
kron_g500-simple-logn19,10,43.20,39,3,79.3100,86.3267
rgg_n_2_20_s0,10,17.00,17,10,0.9400,1.5040
audikw1,10,42.00,42,10,19.6100,20.5500
rgg_n_2_22_s0,10,11.00,11,10,5.0000,26.1230
delaunay_n13,10,5.00,5,10,0.0000,0.0000
