Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
soc-FourSquare,10,31.00,31,10,7.7300,20.5120
socfb-UConn,10,50.00,50,10,2.4100,2.5840
scc_rt_gmanews,10,22.00,22,10,0.0000,0.0060
sc-msdoor,10,35.00,35,10,34.3100,39.1730
soc-pokec,10,29.00,29,10,61.6800,67.9400
ca-netscience,10,9.00,9,10,0.0000,0.0040
socfb-Texas84,10,54.00,54,10,6.3200,6.7830
scc_rt_libya,10,3.00,3,10,0.0000,0.0000
scc_infect-dublin,10,84.00,84,10,0.5300,1.6030
ia-wiki-Talk,10,25.10,25,9,11.9100,27.4733
ia-infect-hyper,10,16.00,16,10,0.0000,0.0160
soc-digg,10,63.00,63,10,8.6200,15.4240
scc_rt_lolgop,10,42.00,42,10,0.0100,0.0570
web-arabic-2005,10,102.00,102,10,5.2600,11.6880
ca-CSphd,10,3.00,3,10,0.0000,0.0020
soc-gowalla,10,29.00,29,10,2.6700,14.3080
soc-delicious,10,21.00,21,10,7.6600,24.2510
soc-epinions,10,17.00,17,10,1.2100,3.8870
socfb-UF,10,56.80,56,2,25.0300,30.3400
socfb-Penn94,10,45.00,45,10,4.9600,5.5330
web-edu,10,30.00,30,10,0.0100,0.0330
bio-dmela,10,7.00,7,10,0.3300,0.8170
soc-lastfm,10,21.00,21,10,7.5000,9.7380
scc_fb-forum,10,266.00,266,10,0.2200,1.2490
inf-roadNet-PA,10,4.00,4,10,1.3600,3.4510
scc_rt_damascus,10,5.00,5,10,0.0000,0.0000
sc-ldoor,10,35.00,35,10,81.2000,89.7630
web-spam,10,20.00,20,10,0.0300,0.1680
scc_rt_bahrain,10,8.00,8,10,0.0000,0.0000
scc_rt_obama,10,2.00,2,10,0.0000,0.0000
scc_rt_lebanon,10,2.00,2,10,0.0000,0.0000
soc-flickr,10,101.00,101,10,8.2100,9.8070
scc_rt_assad,10,8.00,8,10,0.0000,0.0000
tech-RL-caida,10,17.00,17,10,12.8100,21.0570
scc_rt_qatif,10,3.00,3,10,0.0000,0.0000
soc-youtube,10,25.00,25,10,4.5000,5.1680
socfb-UCLA,10,51.00,51,10,2.8200,19.5020
ca-GrQc,10,44.00,44,10,0.0200,0.0570
socfb-CMU,10,45.00,45,10,7.2200,13.8700
scc_reality,10,1236.00,1236,10,17.2700,28.4390
tech-as-skitter,10,68.00,68,10,10.5800,14.3850
ca-AstroPh,10,57.00,57,10,0.6800,2.0710
ca-dblp-2012,10,114.00,114,10,2.5000,4.7000
web-indochina-2004,10,50.00,50,10,0.0700,0.1760
sc-nasasrb,10,32.00,32,10,4.9200,5.6510
ca-MathSciNet,10,25.00,25,10,1.2000,2.2530
ca-Erdos992,10,8.00,8,10,0.0200,0.0600
socfb-OR,10,32.00,32,10,2.8800,3.1790
sc-pkustk11,10,42.00,42,10,9.8700,10.9850
socfb-uci-uni,10,7.70,7,3,65.5800,66.7833
soc-livejournal,10,214.00,214,10,35.4100,62.0490
rt-retweet,10,4.00,4,10,0.0000,0.0000
ca-dblp-2010,10,75.00,75,10,1.8600,3.1620
sc-shipsec1,10,24.00,24,10,6.7400,13.9490
tech-routers-rf,10,16.00,16,10,0.0100,0.0450
socfb-Indiana,10,50.00,50,10,4.5300,5.2980
inf-power,10,6.00,6,10,0.0000,0.0180
scc_retweet,10,166.00,166,10,0.2100,2.2070
scc_twitter-copen,10,581.00,581,10,1.8100,5.0860
soc-BlogCatalog,10,78.70,77,5,41.3100,48.6860
tech-as-caida2007,10,16.00,16,10,0.1700,0.2840
soc-LiveMocha,10,27.80,27,4,25.7900,40.8500
rec-amazon,10,5.00,5,10,0.1400,0.1530
soc-youtube-snap,10,25.00,25,10,4.3500,8.7920
scc_retweet-crawl,10,20.00,20,10,0.2200,0.2730
ia-infect-dublin,10,16.00,16,10,0.0100,0.0310
